LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
14m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-bsjq4       Readiness probe failed: Get "http://10.244.1.9:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
14m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-swcjv       Readiness probe failed: Get "http://10.244.2.8:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/cpu-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
14m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-swcjv       Stopping container cpu-http
14m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-bsjq4       Stopping container cpu-http
14m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-fp9gh       Stopping container cpu-http
14m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-4h25k       Stopping container cpu-http
6m9s        Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
6m9s        Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-vwcv5
6m9s        Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-dnbjn
6m9s        Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-ggj2f       Successfully assigned default/cpu-app-bcc7f4b9c-ggj2f to kind-worker2
6m9s        Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dnbjn       Successfully assigned default/cpu-app-bcc7f4b9c-dnbjn to kind-worker2
6m9s        Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-vwcv5       Successfully assigned default/cpu-app-bcc7f4b9c-vwcv5 to kind-worker3
6m9s        Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-w6wzd
6m9s        Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-ggj2f
6m9s        Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-w6wzd       Successfully assigned default/cpu-app-bcc7f4b9c-w6wzd to kind-worker
6m8s        Normal    Started                        pod/cpu-app-bcc7f4b9c-dnbjn       Container started
6m8s        Normal    Pulled                         pod/cpu-app-bcc7f4b9c-vwcv5       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
6m8s        Normal    Started                        pod/cpu-app-bcc7f4b9c-w6wzd       Container started
6m8s        Normal    Created                        pod/cpu-app-bcc7f4b9c-w6wzd       Container created
6m8s        Normal    Pulled                         pod/cpu-app-bcc7f4b9c-w6wzd       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
6m8s        Normal    Started                        pod/cpu-app-bcc7f4b9c-vwcv5       Container started
6m8s        Normal    Created                        pod/cpu-app-bcc7f4b9c-vwcv5       Container created
6m8s        Normal    Created                        pod/cpu-app-bcc7f4b9c-ggj2f       Container created
6m8s        Normal    Pulled                         pod/cpu-app-bcc7f4b9c-dnbjn       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
6m8s        Normal    Started                        pod/cpu-app-bcc7f4b9c-ggj2f       Container started
6m8s        Normal    Created                        pod/cpu-app-bcc7f4b9c-dnbjn       Container created
6m8s        Normal    Pulled                         pod/cpu-app-bcc7f4b9c-ggj2f       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
5m5s        Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-vwcv5       Readiness probe failed: Get "http://10.244.2.9:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m1s        Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-ggj2f       Readiness probe failed: Get "http://10.244.1.10:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
4m55s       Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-w6wzd       Readiness probe failed: Get "http://10.244.4.9:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
4m46s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
4m46s       Warning   FailedGetPodsMetric            horizontalpodautoscaler/cpu-hpa   unable to get metric http_requests_per_second: no metrics returned from custom metrics API
4m27s       Normal    Killing                        pod/cpu-app-bcc7f4b9c-ggj2f       Stopping container cpu-http
4m27s       Normal    Killing                        pod/cpu-app-bcc7f4b9c-w6wzd       Stopping container cpu-http
4m27s       Normal    Killing                        pod/cpu-app-bcc7f4b9c-vwcv5       Stopping container cpu-http
4m27s       Normal    Killing                        pod/cpu-app-bcc7f4b9c-dnbjn       Stopping container cpu-http
3m57s       Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-ggj2f       Readiness probe failed: Get "http://10.244.1.10:8080/healthz": dial tcp 10.244.1.10:8080: connect: connection refused
3m56s       Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-dnbjn       Readiness probe failed: Get "http://10.244.1.11:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
3m55s       Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-7xr2p
3m55s       Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-qt9jq       Successfully assigned default/cpu-app-bcc7f4b9c-qt9jq to kind-worker2
3m55s       Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-qt9jq
3m55s       Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
3m55s       Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-7xr2p       Successfully assigned default/cpu-app-bcc7f4b9c-7xr2p to kind-worker2
3m55s       Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-k6pr2
3m55s       Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-29d4c
3m55s       Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-29d4c       Successfully assigned default/cpu-app-bcc7f4b9c-29d4c to kind-worker3
3m55s       Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-k6pr2       Successfully assigned default/cpu-app-bcc7f4b9c-k6pr2 to kind-worker
