timestamp,pod,cpu_millicores
1772360113,websocket-server-5f4f67c6f4-kfn6d,155
1772360113,websocket-server-5f4f67c6f4-vrqjr,0
1772360113,websocket-server-5f4f67c6f4-xhx94,49
1772360113,websocket-server-5f4f67c6f4-xzbwh,0
1772360113,websocket-server-5f4f67c6f4-z5ftb,44
1772360119,websocket-loadgen-97prs,43
1772360119,websocket-server-5f4f67c6f4-45fb2,125
1772360119,websocket-server-5f4f67c6f4-65l82,157
1772360119,websocket-server-5f4f67c6f4-7w5zm,40
1772360119,websocket-server-5f4f67c6f4-87z6g,154
1772360119,websocket-server-5f4f67c6f4-88jgf,37
1772360119,websocket-server-5f4f67c6f4-8g2fl,117
1772360119,websocket-server-5f4f67c6f4-96fbm,157
1772360119,websocket-server-5f4f67c6f4-dgcgd,122
1772360119,websocket-server-5f4f67c6f4-hd5jb,116
1772360119,websocket-server-5f4f67c6f4-k82hd,35
1772360119,websocket-server-5f4f67c6f4-kfn6d,155
1772360119,websocket-server-5f4f67c6f4-vrqjr,0
1772360119,websocket-server-5f4f67c6f4-xhx94,49
1772360119,websocket-server-5f4f67c6f4-xzbwh,0
1772360119,websocket-server-5f4f67c6f4-z5ftb,44
1772360124,websocket-loadgen-97prs,43
1772360124,websocket-server-5f4f67c6f4-45fb2,194
1772360124,websocket-server-5f4f67c6f4-65l82,163
1772360124,websocket-server-5f4f67c6f4-7w5zm,0
1772360124,websocket-server-5f4f67c6f4-87z6g,143
1772360124,websocket-server-5f4f67c6f4-88jgf,0
1772360124,websocket-server-5f4f67c6f4-8g2fl,133
1772360124,websocket-server-5f4f67c6f4-96fbm,146
1772360124,websocket-server-5f4f67c6f4-dgcgd,113
1772360124,websocket-server-5f4f67c6f4-hd5jb,116
1772360124,websocket-server-5f4f67c6f4-k82hd,0
1772360124,websocket-server-5f4f67c6f4-kfn6d,136
1772360124,websocket-server-5f4f67c6f4-vrqjr,0
1772360124,websocket-server-5f4f67c6f4-xhx94,0
1772360124,websocket-server-5f4f67c6f4-xzbwh,0
1772360124,websocket-server-5f4f67c6f4-z5ftb,0
1772360129,websocket-loadgen-97prs,43
1772360129,websocket-server-5f4f67c6f4-45fb2,194
1772360129,websocket-server-5f4f67c6f4-65l82,163
1772360129,websocket-server-5f4f67c6f4-7w5zm,0
1772360129,websocket-server-5f4f67c6f4-87z6g,143
1772360129,websocket-server-5f4f67c6f4-88jgf,0
1772360129,websocket-server-5f4f67c6f4-8g2fl,133
1772360129,websocket-server-5f4f67c6f4-96fbm,146
1772360129,websocket-server-5f4f67c6f4-dgcgd,113
