LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-cfwwj       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-pltcr       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-9d2g5       Container started
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-hwrvt       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-klvwz       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-klvwz       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-pltcr       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-pltcr       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-stxjp       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8gbmp       Container started
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-cfwwj       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-stxjp       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-klvwz       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-hwrvt       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-vd8gj       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-vd8gj       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-9d2g5       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
46m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-vd8gj       Readiness probe failed: Get "http://10.244.2.21:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
45m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      (combined from similar events): Created pod: cpu-app-bcc7f4b9c-bhkrq
45m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 24; reason: pods metric http_requests_per_second above target
45m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 20 to 24
45m         Normal    Started                        pod/cpu-app-bcc7f4b9c-hqw4r       Container started
45m         Normal    Created                        pod/cpu-app-bcc7f4b9c-7mt7v       Container created
45m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-7mt7v       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
45m         Normal    Created                        pod/cpu-app-bcc7f4b9c-582xn       Container created
45m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-582xn       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
45m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-hqw4r       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
45m         Normal    Created                        pod/cpu-app-bcc7f4b9c-hqw4r       Container created
45m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-bhkrq       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
45m         Normal    Created                        pod/cpu-app-bcc7f4b9c-bhkrq       Container created
45m         Normal    Started                        pod/cpu-app-bcc7f4b9c-7mt7v       Container started
45m         Normal    Started                        pod/cpu-app-bcc7f4b9c-bhkrq       Container started
45m         Normal    Started                        pod/cpu-app-bcc7f4b9c-582xn       Container started
44m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-j5cm6       Readiness probe failed: Get "http://10.244.1.20:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
44m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-4lx7p       Readiness probe failed: Get "http://10.244.2.19:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
44m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-pltcr       Readiness probe failed: Get "http://10.244.3.23:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
42m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-v9lp7       Readiness probe failed: Get "http://10.244.1.18:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
42m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-s8htn       Readiness probe failed: Get "http://10.244.3.22:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
