LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
34m         Normal    Pulled                         pod/cpu-app-7644f97777-cgh4r      Successfully pulled image "polinux/stress" in 2.116s (2.117s including waiting). Image size: 4041495 bytes.
34m         Normal    Pulled                         pod/cpu-app-7644f97777-lrjr7      Successfully pulled image "polinux/stress" in 1.667s (3.691s including waiting). Image size: 4041495 bytes.
33m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
33m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/cpu-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
33m         Normal    Pulled                         pod/cpu-app-7644f97777-6gkxz      Successfully pulled image "polinux/stress" in 1.521s (1.521s including waiting). Image size: 4041495 bytes.
33m         Normal    Pulled                         pod/cpu-app-7644f97777-lrjr7      Successfully pulled image "polinux/stress" in 1.358s (1.358s including waiting). Image size: 4041495 bytes.
33m         Normal    Pulled                         pod/cpu-app-7644f97777-7mwm6      Successfully pulled image "polinux/stress" in 1.556s (1.556s including waiting). Image size: 4041495 bytes.
33m         Normal    Pulled                         pod/cpu-app-7644f97777-cgh4r      Successfully pulled image "polinux/stress" in 1.62s (2.976s including waiting). Image size: 4041495 bytes.
32m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
32m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/cpu-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
31m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 8; reason: cpu resource utilization (percentage of request) above target
31m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-zzsjp
31m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 8 from 4
31m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-n42xv
31m         Normal    Scheduled                      pod/cpu-app-7644f97777-kdp48      Successfully assigned default/cpu-app-7644f97777-kdp48 to kind-worker
31m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-ngmnt
31m         Normal    Scheduled                      pod/cpu-app-7644f97777-ngmnt      Successfully assigned default/cpu-app-7644f97777-ngmnt to kind-worker2
31m         Normal    Scheduled                      pod/cpu-app-7644f97777-n42xv      Successfully assigned default/cpu-app-7644f97777-n42xv to kind-worker
31m         Normal    Scheduled                      pod/cpu-app-7644f97777-zzsjp      Successfully assigned default/cpu-app-7644f97777-zzsjp to kind-worker3
31m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-kdp48
31m         Normal    Pulled                         pod/cpu-app-7644f97777-ngmnt      Successfully pulled image "polinux/stress" in 1.616s (1.616s including waiting). Image size: 4041495 bytes.
31m         Normal    Pulled                         pod/cpu-app-7644f97777-n42xv      Successfully pulled image "polinux/stress" in 1.637s (1.637s including waiting). Image size: 4041495 bytes.
31m         Normal    Pulled                         pod/cpu-app-7644f97777-kdp48      Successfully pulled image "polinux/stress" in 1.635s (3.27s including waiting). Image size: 4041495 bytes.
31m         Normal    Pulled                         pod/cpu-app-7644f97777-zzsjp      Successfully pulled image "polinux/stress" in 2.638s (2.638s including waiting). Image size: 4041495 bytes.
31m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-sfzkn
31m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 10; reason: cpu resource utilization (percentage of request) above target
31m         Normal    Scheduled                      pod/cpu-app-7644f97777-sfzkn      Successfully assigned default/cpu-app-7644f97777-sfzkn to kind-worker2
31m         Normal    Scheduled                      pod/cpu-app-7644f97777-w2m4m      Successfully assigned default/cpu-app-7644f97777-w2m4m to kind-worker3
31m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 10 from 8
31m         Normal    Pulled                         pod/cpu-app-7644f97777-sfzkn      Successfully pulled image "polinux/stress" in 1.632s (1.632s including waiting). Image size: 4041495 bytes.
31m         Normal    Pulled                         pod/cpu-app-7644f97777-w2m4m      Successfully pulled image "polinux/stress" in 1.585s (1.585s including waiting). Image size: 4041495 bytes.
30m         Normal    Scheduled                      pod/cpu-app-7644f97777-579bw      Successfully assigned default/cpu-app-7644f97777-579bw to kind-worker
30m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 14; reason: cpu resource utilization (percentage of request) above target
30m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 14 from 10
30m         Normal    Scheduled                      pod/cpu-app-7644f97777-x9nl4      Successfully assigned default/cpu-app-7644f97777-x9nl4 to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-7644f97777-798xc      Successfully assigned default/cpu-app-7644f97777-798xc to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-7644f97777-tl5qq      Successfully assigned default/cpu-app-7644f97777-tl5qq to kind-worker3
30m         Normal    Pulled                         pod/cpu-app-7644f97777-579bw      Successfully pulled image "polinux/stress" in 1.601s (1.601s including waiting). Image size: 4041495 bytes.
30m         Normal    Pulled                         pod/cpu-app-7644f97777-x9nl4      Successfully pulled image "polinux/stress" in 2.159s (2.159s including waiting). Image size: 4041495 bytes.
30m         Normal    Pulled                         pod/cpu-app-7644f97777-tl5qq      Successfully pulled image "polinux/stress" in 1.626s (1.626s including waiting). Image size: 4041495 bytes.
30m         Normal    Pulled                         pod/cpu-app-7644f97777-798xc      Successfully pulled image "polinux/stress" in 1.948s (3.527s including waiting). Image size: 4041495 bytes.
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-rr7r9      Successfully assigned default/cpu-app-7644f97777-rr7r9 to kind-worker2
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-xpcm5      Successfully assigned default/cpu-app-7644f97777-xpcm5 to kind-worker2
29m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 24 from 14
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-g6d92      Successfully assigned default/cpu-app-7644f97777-g6d92 to kind-worker3
29m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     (combined from similar events): Created pod: cpu-app-7644f97777-bqhw2
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-vfw22      Successfully assigned default/cpu-app-7644f97777-vfw22 to kind-worker3
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-c67cn      Successfully assigned default/cpu-app-7644f97777-c67cn to kind-worker
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-bqhw2      Successfully assigned default/cpu-app-7644f97777-bqhw2 to kind-worker
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-vfwvn      Successfully assigned default/cpu-app-7644f97777-vfwvn to kind-worker2
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-fftpf      Successfully assigned default/cpu-app-7644f97777-fftpf to kind-worker2
