LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-v9lp7       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-bhkrq       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-7mt7v       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-6nwdm       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-6q6qf       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-pltcr       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-s8htn       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-wd5wk       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-hqw4r       Stopping container cpu-http
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-5cppb       Readiness probe failed: Get "http://10.244.2.18:8080/healthz": dial tcp 10.244.2.18:8080: connect: connection refused
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-h4qwc       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-nrlbp       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-wtsw4
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-nrlbp       Container created
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-cx82n       Container created
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-cx82n       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-wtsw4       Container created
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-h4qwc       Container created
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-nrlbp
53m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-h4qwc
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-cx82n
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-wtsw4       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-wtsw4       Container started
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-cx82n       Container started
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-h4qwc       Container started
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-nrlbp       Container started
52m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
52m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/cpu-hpa   unable to get metric http_requests_per_second: no metrics returned from custom metrics API
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 7; reason: pods metric http_requests_per_second above target
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-56r2c
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 4 to 7
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-x4q9v
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-h9hqz
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-56r2c       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-h9hqz       Container created
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-x4q9v       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-x4q9v       Container created
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-56r2c       Container created
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-h9hqz       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-h9hqz       Container started
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-x4q9v       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-56r2c       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-h9hqz       Readiness probe failed: Get "http://10.244.3.28:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-487n8
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 7 to 8
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 8; reason: pods metric http_requests_per_second above target
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-487n8       Container created
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-487n8       Container started
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-487n8       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
49m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-h4qwc       Readiness probe failed: Get "http://10.244.2.26:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
48m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-56r2c       Readiness probe failed: Get "http://10.244.2.27:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-m65b2       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-k547c       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 8 to 11
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-slhq6       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 11; reason: pods metric http_requests_per_second above target
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-slhq6       Container created
48m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-m65b2
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-m65b2       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-k547c       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-m65b2       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-slhq6       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-k547c       Container started
48m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 11 to 20
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 20; reason: pods metric http_requests_per_second above target
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-xq7cp       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-wfblc       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-5mbxl       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-5mbxl       Container started
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-9fpln       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-fq5b9       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-fq5b9       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-fq5b9       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-9fpln       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-9fpln       Container started
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-64fsn       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-64fsn       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-wfblc       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-64fsn       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-wfblc       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-xq7cp       Container started
